order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,32,1,41.85,8.37
2,2,27,1,707.76,70.78
3,3,4,1,600.54,180.16
4,3,40,1,11.32,3.4
5,3,11,1,792.78,237.83
6,4,34,1,375.85,56.38
7,5,35,1,562.97,112.59
8,6,2,1,15.91,2.39
9,6,30,1,566.48,84.97
10,7,45,1,367.04,55.06
11,8,17,1,537.5,107.5
12,8,50,1,537.63,107.53
13,9,9,1,68.23,13.65
14,9,31,1,362.11,72.42
15,9,41,1,582.42,116.48
16,10,10,1,631.18,63.12
17,10,22,1,466.05,46.61
18,11,4,1,600.54,120.11
19,12,40,1,11.32,1.13
20,12,12,1,207.76,20.78
21,13,30,1,566.48,113.3
22,13,19,1,578.53,115.71
23,13,22,1,466.05,93.21
24,14,14,2,796.41,0.0
25,15,42,3,52.69,23.71
26,15,3,1,414.71,62.21
27,15,8,1,785.96,117.89
28,16,7,1,607.15,60.72
29,16,25,2,670.68,134.14
30,17,47,2,574.13,0.0
31,17,26,1,584.12,0.0
32,17,50,1,537.63,0.0
33,18,12,1,207.76,0.0
34,18,33,1,564.13,0.0
35,18,46,3,500.59,0.0
36,18,5,2,421.71,0.0
37,19,21,1,223.49,33.52
38,19,29,1,619.47,92.92
39,19,49,1,283.23,42.48
40,20,44,1,375.48,75.1
41,20,28,1,560.0,112.0
42,20,18,1,563.05,112.61
43,21,31,2,362.11,144.84
44,22,16,1,123.03,24.61
45,22,40,1,11.32,2.26
46,22,2,1,15.91,3.18
47,22,30,4,566.48,453.18
48,22,20,1,270.47,54.09
49,23,7,1,607.15,91.07
50,23,23,1,365.58,54.84
51,24,40,1,11.32,0.0
52,24,50,4,537.63,0.0
53,24,23,2,365.58,0.0
54,24,9,1,68.23,0.0
55,25,3,3,414.71,0.0
56,26,31,1,362.11,0.0
57,26,32,1,41.85,0.0
58,27,3,1,414.71,62.21
59,27,31,1,362.11,54.32
60,28,12,1,207.76,41.55
61,29,33,1,564.13,0.0
62,29,10,1,631.18,0.0
63,30,3,1,414.71,62.21
64,30,28,3,560.0,252.0
65,30,21,1,223.49,33.52
66,30,2,1,15.91,2.39
67,31,38,1,625.69,93.85
68,32,13,2,779.74,467.84
69,32,36,1,127.23,38.17
70,32,16,3,123.03,110.73
71,33,14,1,796.41,159.28
72,33,42,1,52.69,10.54
73,33,21,1,223.49,44.7
