order_id,customer_id,order_date,promotion_id
1,329,2026-05-26 00:00:00,3
2,616,2025-11-23 00:00:00,2
3,685,2026-01-30 00:00:00,4
4,870,2026-01-12 00:00:00,5
5,20,2026-07-01 00:00:00,3
6,819,2026-02-19 00:00:00,5
7,403,2025-12-10 00:00:00,5
8,283,2026-04-21 00:00:00,3
9,592,2026-06-13 00:00:00,3
10,132,2026-03-24 00:00:00,2
11,893,2026-06-08 00:00:00,3
12,860,2026-05-20 00:00:00,2
13,510,2026-05-27 00:00:00,3
14,898,2025-11-24 00:00:00,1
15,81,2026-05-23 00:00:00,5
16,230,2026-06-29 00:00:00,2
17,101,2026-04-29 00:00:00,1
18,368,2025-07-10 00:00:00,1
19,46,2025-05-23 00:00:00,5
20,160,2026-06-04 00:00:00,3
21,34,2026-06-07 00:00:00,3
22,79,2026-02-12 00:00:00,3
23,724,2026-04-11 00:00:00,5
24,483,2025-11-15 00:00:00,1
25,748,2026-04-22 00:00:00,1
26,121,2026-06-03 00:00:00,1
27,134,2025-09-30 00:00:00,5
28,680,2025-07-01 00:00:00,3
29,712,2026-05-05 00:00:00,1
30,225,2026-05-11 00:00:00,5
31,346,2026-05-29 00:00:00,5
32,974,2025-12-27 00:00:00,4
33,161,2026-04-13 00:00:00,3
34,654,2025-11-24 00:00:00,1
35,633,2026-04-02 00:00:00,4
36,86,2025-08-22 00:00:00,4
37,966,2025-09-27 00:00:00,4
38,771,2026-04-23 00:00:00,1
39,75,2026-05-27 00:00:00,5
40,981,2026-06-18 00:00:00,2
41,700,2025-12-04 00:00:00,1
42,411,2025-07-15 00:00:00,5
43,948,2026-04-12 00:00:00,2
44,774,2026-06-02 00:00:00,1
45,6,2026-01-19 00:00:00,4
46,900,2026-04-25 00:00:00,5
47,788,2026-06-27 00:00:00,3
48,639,2025-07-22 00:00:00,2
49,124,2026-04-17 00:00:00,2
50,684,2026-05-05 00:00:00,3
51,648,2026-02-26 00:00:00,5
52,424,2025-11-17 00:00:00,3
53,851,2026-06-27 00:00:00,5
54,98,2026-04-14 00:00:00,3
55,872,2025-12-28 00:00:00,3
56,34,2026-03-29 00:00:00,1
57,596,2025-06-30 00:00:00,1
58,258,2026-03-03 00:00:00,5
59,29,2026-06-17 00:00:00,1
60,400,2026-04-07 00:00:00,4
61,11,2026-05-03 00:00:00,1
62,541,2026-03-22 00:00:00,4
63,38,2025-12-07 00:00:00,4
64,945,2025-10-10 00:00:00,3
65,298,2026-03-06 00:00:00,4
66,661,2026-03-09 00:00:00,1
67,996,2026-02-15 00:00:00,3
68,164,2026-02-06 00:00:00,3
69,89,2026-05-24 00:00:00,4
70,600,2026-04-02 00:00:00,4
71,837,2025-11-10 00:00:00,5
72,789,2025-10-03 00:00:00,2
73,265,2026-05-23 00:00:00,5
74,78,2026-06-22 00:00:00,4
75,98,2026-06-13 00:00:00,4
76,278,2025-08-05 00:00:00,2
77,517,2025-08-24 00:00:00,4
78,9,2026-06-09 00:00:00,5
79,664,2025-12-21 00:00:00,3
80,444,2026-01-03 00:00:00,4
81,748,2026-03-10 00:00:00,5
82,751,2025-09-22 00:00:00,5
83,222,2026-05-05 00:00:00,3
84,449,2025-09-19 00:00:00,2
85,12,2026-02-04 00:00:00,2
86,657,2025-11-23 00:00:00,1
87,813,2026-05-31 00:00:00,2
88,787,2026-04-10 00:00:00,2
89,706,2026-02-04 00:00:00,3
90,918,2026-03-24 00:00:00,3
91,166,2026-05-17 00:00:00,2
92,393,2026-02-26 00:00:00,5
93,467,2026-06-16 00:00:00,2
94,676,2026-06-30 00:00:00,5
95,123,2025-12-23 00:00:00,2
96,266,2025-11-10 00:00:00,5
97,754,2025-06-05 00:00:00,3
98,32,2025-11-19 00:00:00,3
99,697,2026-03-23 00:00:00,2
100,509,2026-04-13 00:00:00,2
101,678,2026-05-07 00:00:00,5
102,262,2026-06-07 00:00:00,1
103,535,2025-12-23 00:00:00,2
104,166,2026-06-06 00:00:00,5
105,140,2025-07-14 00:00:00,1
106,148,2026-06-22 00:00:00,4
107,590,2026-04-14 00:00:00,5
108,104,2026-05-14 00:00:00,1
109,927,2025-06-23 00:00:00,4
110,202,2026-05-13 00:00:00,4
111,66,2026-04-10 00:00:00,2
112,76,2026-05-22 00:00:00,1
113,156,2026-02-04 00:00:00,3
114,531,2026-07-01 00:00:00,2
115,271,2026-03-06 00:00:00,4
116,938,2026-06-09 00:00:00,2
117,656,2026-06-15 00:00:00,3
118,67,2025-03-19 00:00:00,4
119,426,2025-11-15 00:00:00,3
120,478,2026-05-08 00:00:00,2
121,633,2026-02-16 00:00:00,1
122,874,2026-03-04 00:00:00,2
123,160,2025-05-16 00:00:00,5
124,499,2025-09-05 00:00:00,2
125,384,2025-05-19 00:00:00,3
126,398,2025-12-04 00:00:00,2
127,141,2026-06-07 00:00:00,3
128,341,2026-04-21 00:00:00,4
129,402,2026-03-20 00:00:00,3
130,848,2026-05-09 00:00:00,1
131,43,2026-04-23 00:00:00,2
132,229,2025-10-20 00:00:00,4
133,625,2026-05-02 00:00:00,5
134,991,2025-11-13 00:00:00,1
135,70,2026-04-18 00:00:00,4
136,260,2026-03-10 00:00:00,5
137,425,2026-02-25 00:00:00,1
138,64,2026-07-01 00:00:00,5
139,236,2026-02-17 00:00:00,3
140,703,2025-02-13 00:00:00,5
141,32,2026-04-21 00:00:00,3
142,284,2025-06-14 00:00:00,4
143,348,2026-06-19 00:00:00,5
144,512,2025-12-25 00:00:00,4
145,845,2026-01-25 00:00:00,3
146,751,2025-10-31 00:00:00,2
147,554,2026-03-13 00:00:00,1
148,854,2026-02-04 00:00:00,5
149,145,2026-05-10 00:00:00,2
150,543,2025-12-10 00:00:00,2
151,585,2025-10-24 00:00:00,4
152,470,2026-04-11 00:00:00,2
153,968,2026-01-24 00:00:00,5
154,974,2026-01-29 00:00:00,3
155,887,2026-03-19 00:00:00,4
156,424,2025-08-05 00:00:00,3
157,205,2026-04-19 00:00:00,5
158,942,2026-05-12 00:00:00,4
159,645,2026-05-03 00:00:00,3
160,905,2025-12-03 00:00:00,3
161,165,2026-04-11 00:00:00,2
162,976,2025-12-11 00:00:00,2
163,449,2025-08-14 00:00:00,2
164,368,2025-08-18 00:00:00,5
165,969,2025-06-29 00:00:00,3
166,777,2026-02-12 00:00:00,1
167,672,2025-09-29 00:00:00,5
168,87,2025-09-22 00:00:00,3
169,543,2026-01-25 00:00:00,1
170,647,2026-06-21 00:00:00,1
171,870,2026-04-25 00:00:00,3
172,966,2026-03-02 00:00:00,1
173,694,2026-02-20 00:00:00,2
174,98,2026-05-03 00:00:00,2
175,415,2025-06-28 00:00:00,2
176,996,2025-11-01 00:00:00,5
177,775,2026-05-20 00:00:00,3
178,605,2026-03-05 00:00:00,1
179,914,2026-06-10 00:00:00,2
180,841,2026-03-18 00:00:00,3
181,488,2026-02-22 00:00:00,1
182,71,2026-04-28 00:00:00,2
183,747,2026-04-13 00:00:00,1
184,112,2025-08-11 00:00:00,1
185,725,2025-04-26 00:00:00,3
186,400,2025-10-20 00:00:00,4
187,742,2026-03-23 00:00:00,1
188,917,2026-03-14 00:00:00,4
189,90,2026-04-25 00:00:00,1
190,521,2026-03-16 00:00:00,4
191,460,2026-05-07 00:00:00,2
192,179,2025-10-06 00:00:00,5
193,82,2026-06-11 00:00:00,3
194,424,2026-01-28 00:00:00,2
195,810,2026-03-25 00:00:00,4
196,767,2026-04-16 00:00:00,4
197,965,2026-04-17 00:00:00,1
198,973,2026-01-19 00:00:00,5
199,947,2025-08-27 00:00:00,5
200,127,2026-04-04 00:00:00,3
201,637,2026-01-31 00:00:00,1
202,85,2026-06-12 00:00:00,5
203,760,2026-05-12 00:00:00,3
204,426,2026-05-15 00:00:00,1
205,979,2025-11-06 00:00:00,1
206,459,2026-04-08 00:00:00,3
207,166,2026-01-23 00:00:00,5
208,552,2026-04-18 00:00:00,1
209,535,2026-02-13 00:00:00,4
210,967,2026-05-12 00:00:00,5
211,381,2026-06-21 00:00:00,4
212,73,2026-01-04 00:00:00,1
213,658,2026-05-30 00:00:00,5
214,752,2026-06-15 00:00:00,3
215,137,2025-09-16 00:00:00,4
216,372,2026-01-02 00:00:00,1
217,546,2025-11-14 00:00:00,2
218,369,2026-02-24 00:00:00,2
219,467,2026-05-16 00:00:00,4
220,835,2025-12-06 00:00:00,3
221,932,2026-05-11 00:00:00,5
222,639,2025-01-12 00:00:00,3
223,930,2026-04-05 00:00:00,1
224,253,2026-01-26 00:00:00,5
225,72,2026-04-09 00:00:00,4
226,36,2025-09-12 00:00:00,1
227,142,2026-02-12 00:00:00,5
228,51,2026-01-06 00:00:00,1
229,75,2026-03-18 00:00:00,2
230,462,2025-12-18 00:00:00,4
231,14,2026-04-22 00:00:00,1
232,384,2025-11-18 00:00:00,1
233,323,2026-01-21 00:00:00,5
234,406,2026-02-15 00:00:00,1
235,471,2026-02-27 00:00:00,4
236,654,2025-07-30 00:00:00,1
237,648,2026-04-25 00:00:00,4
238,815,2025-12-25 00:00:00,2
239,979,2025-02-21 00:00:00,5
240,999,2026-03-18 00:00:00,1
241,390,2026-05-02 00:00:00,2
242,965,2026-06-24 00:00:00,2
243,961,2025-12-09 00:00:00,4
244,694,2025-07-21 00:00:00,1
245,692,2026-05-31 00:00:00,5
246,605,2026-05-06 00:00:00,2
247,568,2026-03-21 00:00:00,2
248,285,2026-04-06 00:00:00,2
249,378,2026-05-21 00:00:00,1
250,900,2026-03-04 00:00:00,5
251,872,2026-05-01 00:00:00,4
252,461,2025-12-01 00:00:00,4
253,382,2026-02-27 00:00:00,1
254,432,2026-04-25 00:00:00,1
255,757,2025-05-23 00:00:00,2
256,689,2026-03-16 00:00:00,4
257,551,2026-03-31 00:00:00,2
258,78,2026-03-10 00:00:00,4
259,876,2025-05-27 00:00:00,5
260,402,2026-05-19 00:00:00,3
261,308,2025-12-17 00:00:00,3
262,307,2026-02-20 00:00:00,4
263,464,2025-11-19 00:00:00,4
264,745,2026-01-27 00:00:00,3
265,526,2025-11-04 00:00:00,1
266,231,2026-03-12 00:00:00,2
267,365,2026-05-13 00:00:00,1
268,864,2025-10-29 00:00:00,2
269,689,2025-05-01 00:00:00,5
270,33,2025-07-16 00:00:00,3
271,501,2025-06-04 00:00:00,3
272,558,2025-03-04 00:00:00,3
273,75,2026-03-24 00:00:00,5
274,421,2026-02-06 00:00:00,4
275,634,2026-05-18 00:00:00,2
276,376,2026-06-07 00:00:00,2
277,780,2025-09-17 00:00:00,4
278,358,2026-05-18 00:00:00,1
279,725,2026-01-08 00:00:00,5
280,838,2026-01-21 00:00:00,3
281,88,2026-05-19 00:00:00,5
